"ID","cntry","cntry_code","year","gdppc","gdppc_lag2","gdppc_lag1","pop","unemp","lifeexp","popden","rural","tourarriv","export","import","grossexp","inflation","fertility","industry","biz","evecount","gdppcgr","gdppcgr_lag2","gdppcgr_lag1","TreatBRA","TreatGBR","TreatCAN","TreatZAF","expimp"
5,"Chile","CHL",1997,14367.7384,12875.38957,13556.62341,14786220,7.136000156,75.53,19.88646,14.828,1644000,26.47045,28.47616,102.0057,3.061632,2.238,33.79268,6.205124781,0,5.983163848,7.308287735,5.290976507,0,0,0,0,0.92956529251135
6,"Colombia","COL",1997,9674.339944,9492.792913,9516.814695,37723800,12.14000034,71.887,34.00072,27.338,639000,14.84154,20.75552,105.914,16.83985,2.742,27.07867,5.214927813,0,1.655230808,3.288940887,0.253052838,0,0,0,0,0.715064715314288
7,"Czech Republic","CZE",1997,23645.98943,22772.54294,23761.82343,10304131,4.270999908,73.82487805,133.3523,25.618,4976000,40.46147,44.61269,104.1512,8.364786,1.17,36.17241,2.081967759,0,-0.487479419,6.286554633,4.344181046,0,0,0,0,0.906949793881517
8,"Denmark","DNK",1997,45368.20052,43118.38202,44118.47221,5284991,5.400000095,75.94512195,124.5579,14.967,2158000,37.76286,33.4056,95.64274,2.01392,1.75,22.45273,1.608683422,0,2.832664505,2.492248211,2.319405659,0,0,0,0,1.1304350168834
9,"Estonia","EST",1997,15537.6274,12759.70645,13588.53066,1399535,10.36900043,69.8097561,33.01569,30.077,730000,70.4741,80.77412,109.1232,9.917101,1.32,26.14487,5.323717666,0,14.34369118,6.409660105,6.495635877,0,0,0,0,0.872483661846146
10,"Finland","FIN",1997,34537.92214,31528.07209,32577.26261,5139835,14.96700001,76.87853659,16.8746,18.534,1832000,37.7774,30.44393,93.16198,2.08,1.75,29.02705,1.933680856,0,6.018490803,3.820567631,3.327797842,0,0,0,0,1.24088447187994
11,"France","FRA",1997,36400.87173,35323.40513,35695.90571,59964851,12.56599998,78.30487805,109.5116,24.75,66591000,25.5232,22.5103,96.98711,0.878202,1.77,21.5273,1.586355841,0,1.974921246,1.738500356,1.054543233,0,0,0,0,1.13384539521908
12,"Germany","DEU",1997,40156.00505,39301.97147,39510.08503,82034771,9.862999916,77.07317073,235.023,25.658,15837000,25.36027,24.28239,98.92211,0.281213,1.35,28.57813,0.842609915,0,1.634823153,1.236820292,0.529524483,0,0,0,0,1.04438937023909
13,"Greece","GRC",1997,26749.32921,25122.49734,25727.91011,10661259,9.576999664,78.13658537,82.70953,27.642,10070000,16.22227,23.05196,106.8297,6.55338,1.27,17.93411,0.687354356,0,3.970081885,1.62382517,2.409843097,0,0,0,0,0.703726277505253
14,"Hungary","HUN",1997,17335.39265,16730.72266,16773.29851,10290486,8.989999771,70.70243902,114.5934,35.044,NA,47.90542,46.9433,99.03788,20.2608,1.37,27.79031,8.80421055,0,3.35112462,1.630917597,0.254477053,0,0,0,0,1.02049536355561
15,"Iceland","ISL",1997,36024.17927,33710.32994,35062.1415,271128,3.720000029,78.88536585,2.704519,8.04,202000,35.48117,35.02171,99.54053,4.905083,2.04,25.65343,1.952421122,0,4.897627484,-0.425046313,4.010081082,0,0,0,0,1.01311929086272
16,"Ireland","IRL",1997,37830.68584,32331.64947,34455.07749,3674171,10.20300007,75.98536585,53.33388,41.581,5587000,77.1532,65.1687,88.74715,3.878425,1.93,29.66863,2.449465254,0,9.797128882,9.073770521,6.567645188,0,0,0,0,1.18389963279918
